"Prio","Företag","Ort","Segment","Anst","Beslutsfattare (roll)","Status","Nästa steg","Senaste kontakt","Pilot-förslag","Pain","LinkedIn-sök","Hemsida","Connection request","Notering"
"A","Sörensen Golveriet","Sävedalen","Golv","~14","Johan Simonsson (ordf.)","Ej påbörjad","Följ + like 2 inlägg","","Offert-agent","Offert+materialberäkning manuellt","https://www.linkedin.com/search/results/people/?keywords=Johan%20Simonsson%20Sörensen%20Golveriet","https://golveriet.se","Hej Johan! Vi är båda i bygg/hantverk-världen — jag bygger AI-system som kapar offert- och adminstrul för firmor som Sörensen Golveriet. Connectar gärna!","Ägardriven"
"A","Kungsbacka Byggnads","Kungsbacka","Bygg","~23","Dan Aronsson (VD)","Ej påbörjad","Verifiera hemsida","","Offert-agent","Anbud+dagbok+UE-admin staplas","https://www.linkedin.com/search/results/people/?keywords=Dan%20Aronsson%20Kungsbacka%20Byggnads","(verifiera på allabolag)","Hej Dan! Vi är båda i bygg/hantverk-världen — jag bygger AI-system som kapar offert- och adminstrul för firmor som Kungsbacka Byggnads. Connectar gärna!","Oms ~114 MSEK 2025"
"A","Vi Bygg Sverige","Kungsbacka","Bygg","~14","Alfred Borneby (VD)","Ej påbörjad","Verifiera hemsida","","Offert-agent","Anbud+dagbok+UE-admin staplas","https://www.linkedin.com/search/results/people/?keywords=Alfred%20Borneby%20Vi%20Bygg%20Sverige","(verifiera på allabolag)","Hej Alfred! Vi är båda i bygg/hantverk-världen — jag bygger AI-system som kapar offert- och adminstrul för firmor som Vi Bygg. Connectar gärna!","Moderbolag Vigilax Holding"
"B","Fyrstads El i Göteborg","Göteborg","El","~35","okänd – verifiera","Ej påbörjad","Verifiera namn på LinkedIn","","Tidrapport→faktura","Tidrapport+fakturaunderlag äter kvällar","https://www.linkedin.com/company/fyrstadsgruppen","https://fyrstadselgbg.se","Hej! Jag bygger AI-system som kapar offert- och adminstrul för hantverksfirmor som Fyrstads El — connectar gärna med dig som driver verksamheten!","El, säkerhet, solceller"
"B","Fyrstads El","Uddevalla","El","~25","okänd – verifiera","Ej påbörjad","Verifiera namn på LinkedIn","","Tidrapport→faktura","Tidrapport+fakturaunderlag äter kvällar","https://www.linkedin.com/company/fyrstadsgruppen","https://fyrstadsel.se","Hej! Jag bygger AI-system som kapar offert- och adminstrul för hantverksfirmor som Fyrstads El — connectar gärna med dig som driver verksamheten!","El, larm, solceller N. Bohuslän"
"B","RM Kylteknik","Varberg","Kyla","14-18","okänd – verifiera","Ej påbörjad","Verifiera namn på allabolag","","Tidrapport→faktura","Serviceavtal: timspårning hinns ej","https://www.linkedin.com/search/results/people/?keywords=VD%20RM%20Kylteknik%20Varberg","https://rmkyl.se","Hej! Jag bygger AI-system som kapar offert- och adminstrul för hantverksfirmor som RM Kylteknik — connectar gärna med dig som driver verksamheten!","Familjeägt"
"B","Hedens Rör","Göteborg","VVS","7","Mikael Hansson (ägare)","Ej påbörjad","Följ + like 2 inlägg","","Tidrapport→faktura","Tidrapport+faktura manuellt på kvällar","https://www.linkedin.com/search/results/people/?keywords=Mikael%20Hansson%20Hedens%20Rör","https://hedensror.se","Hej Mikael! Vi är båda i bygg/hantverk-världen — jag bygger AI-system som kapar offert- och adminstrul för firmor som Hedens Rör. Connectar gärna!","Litet, generationsskifte 2020"
"B","Ventilationsteknik i Varberg","Varberg","Ventilation","17","Claes Heimroth (VD)","Ej påbörjad","Verifiera namn på allabolag","","Tidrapport→faktura","Projekt+tidrapport helt manuell","https://www.linkedin.com/search/results/people/?keywords=Claes%20Heimroth%20Ventilationsteknik%20Varberg","https://ventilationvarberg.se","Hej Claes! Vi är båda i bygg/hantverk-världen — jag bygger AI-system som kapar offert- och adminstrul för firmor som Ventilationsteknik. Connectar gärna!","Namn från allabolag-sök"
"B","Sekond i Trollhättan","Trollhättan","El","21-25","Johan Selvén (VD)","Ej påbörjad","Följ + like 2 inlägg","","Tidrapport→faktura","Tidrapport+fakturaunderlag äter kvällar","https://www.linkedin.com/search/results/people/?keywords=Johan%20Selvén%20Sekond%20Trollhättan","https://sekond.se","Hej Johan! Vi är båda i bygg/hantverk-världen — jag bygger AI-system som kapar offert- och adminstrul för firmor som Sekond. Connectar gärna!","Allabolag-sök, oms 46 MSEK"
"B","Brion Ventilation Borås","Borås","Ventilation","10","Diana Folke (extern VD)","Ej påbörjad","Följ + like 2 inlägg","","Tidrapport→faktura","Projekt+tidrapport helt manuell","https://www.linkedin.com/search/results/people/?keywords=Diana%20Folke%20Brion%20Ventilation","https://briongruppen.se","Hej Diana! Vi är båda i bygg/hantverk-världen — jag bygger AI-system som kapar offert- och adminstrul för firmor som Brion Ventilation. Connectar gärna!","Del av Brion-gruppen"
"B","Helservice i väst","Trollhättan","El","12","Mikael Dalåsen (ordf.)","Ej påbörjad","Verifiera VD-roll på LinkedIn","","Tidrapport→faktura","Tidrapport+fakturaunderlag äter kvällar","https://www.linkedin.com/search/results/people/?keywords=Mikael%20Dalåsen%20Helservice","https://helservice.se","Hej Mikael! Vi är båda i bygg/hantverk-världen — jag bygger AI-system som kapar offert- och adminstrul för firmor som Helservice. Connectar gärna!","Styrelse: Dalåsen, Dahlqvist"
"B","EDT Service","Uddevalla","El","12-16","Jonathan Olausson (ordf.)","Ej påbörjad","Följ + like 2 inlägg","","Tidrapport→faktura","Tidrapport+fakturaunderlag äter kvällar","https://www.linkedin.com/search/results/people/?keywords=Jonathan%20Olausson%20EDT%20Service","https://edtinstallation.se","Hej Jonathan! Vi är båda i bygg/hantverk-världen — jag bygger AI-system som kapar offert- och adminstrul för firmor som EDT. Connectar gärna!","Familjeägt sedan 1981"
"B","Rörpulsen VVS Trollhättan","Trollhättan","VVS","8","Johnny Wickelgren (ägare)","Ej påbörjad","Connecta direkt (profil klar)","","Tidrapport→faktura","Tidrapport+faktura manuellt på kvällar","https://www.linkedin.com/in/johnny-wickelgren-77ba0b129/","https://rorpulsen.se","Hej Johnny! Vi är båda i bygg/hantverk-världen — jag bygger AI-system som kapar offert- och adminstrul för firmor som Rörpulsen. Connectar gärna!","Enda verifierade profilen"
"B","ElGruppen Väst","Borås","El","~14","Mikael Johansson (VD)","Ej påbörjad","Följ + like 2 inlägg","","Tidrapport→faktura","Tidrapport+fakturaunderlag äter kvällar","https://www.linkedin.com/search/results/people/?keywords=Mikael%20Johansson%20ElGruppen%20Väst","https://elgruppen.se","Hej Mikael! Vi är båda i bygg/hantverk-världen — jag bygger AI-system som kapar offert- och adminstrul för firmor som ElGruppen Väst. Connectar gärna!","~14 i Borås (koncern 110)"
"B","Bror Ericson Måleri","Uddevalla","Måleri","~30","Anders Stenblock (VD)","Ej påbörjad","Följ + like 2 inlägg","","Offert-agent","Offert tar kvällar; ÄTA tappas","https://www.linkedin.com/search/results/people/?keywords=Anders%20Stenblock%20Bror%20Ericson","https://brorericsonuddevalla.se","Hej Anders! Vi är båda i bygg/hantverk-världen — jag bygger AI-system som kapar offert- och adminstrul för firmor som Bror Ericson Måleri. Connectar gärna!","Koncern HG Hantverksgruppen"
"B","Br. Lindbergs Plåtslageri","Trollhättan","Plåt/tak","~7","Jan Ingemar Lindberg (ägare)","Ej påbörjad","Verifiera hemsida/namn","","Offert-agent","Besiktning→offert manuellt","https://www.linkedin.com/search/results/people/?keywords=Jan%20Lindberg%20Lindbergs%20Plåtslageri%20Trollhättan","(verifiera på allabolag)","Hej Jan! Vi är båda i bygg/hantverk-världen — jag bygger AI-system som kapar offert- och adminstrul för firmor som Br. Lindbergs Plåtslageri. Connectar gärna!","Ordf: Göte Stefan Häger"
"B","GM-Plåt","Uddevalla","Plåt/tak","~31","Christian Johansson (ansvarig)","Ej påbörjad","Följ + like 2 inlägg","","Offert-agent","Besiktning→offert manuellt","https://www.linkedin.com/search/results/people/?keywords=Christian%20Johansson%20GM-Plåt%20Uddevalla","https://gmplat.se","Hej Christian! Vi är båda i bygg/hantverk-världen — jag bygger AI-system som kapar offert- och adminstrul för firmor som GM-Plåt. Connectar gärna!","Moderbolag finns. Övre ICP"
"B","Mattkillarna i Göteborg","Mölndal","Golv","~30","Emil Österman (VD)","Ej påbörjad","Följ + like 2 inlägg","","Offert-agent","Offert+materialberäkning manuellt","https://www.linkedin.com/search/results/people/?keywords=Emil%20Österman%20Mattkillarna","https://mattkillarna.se","Hej Emil! Vi är båda i bygg/hantverk-världen — jag bygger AI-system som kapar offert- och adminstrul för firmor som Mattkillarna. Connectar gärna!","Moderbolag Ekås Invest"
"B","Golvet HFV","Varberg","Golv","~40","Ladislav Maár (ordf.)","Ej påbörjad","Följ + like 2 inlägg","","Offert-agent","Offert+materialberäkning manuellt","https://www.linkedin.com/search/results/people/?keywords=Ladislav%20Maár%20Golvet","https://golvet.se","Hej Ladislav! Vi är båda i bygg/hantverk-världen — jag bygger AI-system som kapar offert- och adminstrul för firmor som Golvet. Connectar gärna!","Koncern Golvet Göteborg AB"
"B","LKV Bygg","Trollhättan","Bygg/snickeri","~7","Mats Lundqvist (ledamot)","Ej påbörjad","Följ + like 2 inlägg","","Offert-agent","Anbud+dagbok+UE-admin staplas","https://www.linkedin.com/search/results/people/?keywords=Mats%20Lundqvist%20LKV%20Bygg","https://lkvbygg.se","Hej Mats! Vi är båda i bygg/hantverk-världen — jag bygger AI-system som kapar offert- och adminstrul för firmor som LKV Bygg. Connectar gärna!","Medlem Byggföretagen"
"C","Servent Ventilation","Göteborg","Ventilation","8","Tommy Schultz (styrelse)","Ej påbörjad","Verifiera VD-roll på LinkedIn","","Tidrapport→faktura","Projekt+tidrapport helt manuell","https://www.linkedin.com/search/results/people/?keywords=Tommy%20Schultz%20Servent%20Ventilation","https://servent.se","Hej Tommy! Vi är båda i bygg/hantverk-världen — jag bygger AI-system som kapar offert- och adminstrul för firmor som Servent. Connectar gärna!","Litet (8) — backup"
"C","Ventilationsgruppen Service","V. Frölunda","Ventilation","6","Ulf Ericsson (VD)","Ej påbörjad","Följ + like 2 inlägg","","Tidrapport→faktura","Projekt+tidrapport helt manuell","https://www.linkedin.com/search/results/people/?keywords=Ulf%20Ericsson%20Ventilationsgruppen","https://ventilationsgruppenservice.se","Hej Ulf! Vi är båda i bygg/hantverk-världen — jag bygger AI-system som kapar offert- och adminstrul för firmor som Ventilationsgruppen. Connectar gärna!","Litet (6) — backup"
"C","Kyl & Värmepumpservice Halmstad","Halmstad","Kyla","13","okänd – verifiera","Ej påbörjad","Verifiera hemsida + VD","","Tidrapport→faktura","Serviceavtal: timspårning hinns ej","https://www.linkedin.com/search/results/people/?keywords=VD%20Kyl%20Värmepumpservice%20Halmstad","(verifiera)","Hej! Jag bygger AI-system som kapar offert- och adminstrul för hantverksfirmor som Kyl & Värmepumpservice — connectar gärna med dig som driver verksamheten!","Mest osäkra uppgifterna"
"C","Kungsbacka Rör","Kungsbacka","VVS","~10-15","okänd – verifiera","Ej påbörjad","Verifiera storlek","","Tidrapport→faktura","Tidrapport+faktura manuellt på kvällar","https://www.linkedin.com/search/results/people/?keywords=VD%20Kungsbacka%20Rör","https://kungsbackaror.se","Hej! Jag bygger AI-system som kapar offert- och adminstrul för hantverksfirmor som Kungsbacka Rör — connectar gärna med dig som driver verksamheten!","VVS+kyla+el+fastighetsautomation"
"C","City Måleri i Borås","Borås","Måleri","~4-6","Leif Andersson (ägare)","Ej påbörjad","Verifiera storlek","","Offert-agent","Offert tar kvällar; ÄTA tappas","https://www.linkedin.com/search/results/people/?keywords=Leif%20Andersson%20City%20Måleri%20Borås","https://citymaleri.se","Hej Leif! Vi är båda i bygg/hantverk-världen — jag bygger AI-system som kapar offert- och adminstrul för firmor som City Måleri. Connectar gärna!","Nedre ICP-kant (~4-6)"
"C","Lift & Måleri i Borås","Borås","Måleri","~4","Morgan West (ordf.)","Ej påbörjad","Verifiera storlek","","Offert-agent","Offert tar kvällar; ÄTA tappas","https://www.linkedin.com/search/results/people/?keywords=Morgan%20West%20Lift%20Måleri%20Borås","https://liftmaleri.se","Hej Morgan! Vi är båda i bygg/hantverk-världen — jag bygger AI-system som kapar offert- och adminstrul för firmor som Lift & Måleri. Connectar gärna!","Under ICP-storlek (~4)"
"C","D-Bygg och Fastighetsservice","Ulricehamn","Byggservice","~4","okänd – verifiera","Ej påbörjad","Verifiera storlek + namn","","Offert-agent","Anbud+dagbok+UE-admin staplas","https://www.linkedin.com/search/results/people/?keywords=VD%20D-Bygg%20Fastighetsservice%20Ulricehamn","https://d-bygg.se","Hej! Jag bygger AI-system som kapar offert- och adminstrul för hantverksfirmor som D-Bygg — connectar gärna med dig som driver verksamheten!","Nedre ICP-kant (~4)"
"C","Krarups Bygg","Lödöse","Bygg/snickeri","~4","Kurt Krarup (ägare)","Ej påbörjad","Verifiera storlek","","Offert-agent","Anbud+dagbok+UE-admin staplas","https://www.linkedin.com/search/results/people/?keywords=Kurt%20Krarup%20Krarups%20Bygg","https://krarups.se","Hej Kurt! Vi är båda i bygg/hantverk-världen — jag bygger AI-system som kapar offert- och adminstrul för firmor som Krarups Bygg. Connectar gärna!","Under ICP-storlek (~4)"
"C","Uddevalla Entreprenad","Uddevalla","Mark/anläggning","~59-60","Sten Ole Jensen (ansvarig)","Ej påbörjad","Verifiera om <50 anst","","Tidrapport→faktura","Maskintid+persontid+UE-timspårning","https://www.linkedin.com/search/results/people/?keywords=Sten%20Jensen%20Uddevalla%20Entreprenad","https://ue-ab.se","Hej Sten! Vi är båda i bygg/hantverk-världen — jag bygger AI-system som kapar offert- och adminstrul för firmor som Uddevalla Entreprenad. Connectar gärna!","Övre ICP-kant, koncern"
